complaintcategory,status,complaintnumber,inspectiondate,housenumber,housestreet
49,ACTIVE,1404785,,1569,LEXINGTON AVENUE
83,ACTIVE,1404858,,350,MANHATTAN AVENUE
05,CLOSED,1400357,2015-09-12,291,PLEASANT AVENUE
05,CLOSED,1393974,2015-09-12,291,PLEASANT AVENUE
49,CLOSED,1404785,2015-10-01,1569,LEXINGTON AVENUE
45,ACTIVE,1395921,2015-10-24,312,WEST 114 STREET
45,CLOSED,1395921,2015-10-27,312,WEST 114 STREET
37,CLOSED,1241066,2015-12-15,419,EAST  114 STREET
30,ACTIVE,1415498,,2321,2 AVENUE
30,CLOSED,1415498,2016-01-31,2321,2 AVENUE
45,CLOSED,1400536,2016-01-29,320,MANHATTAN AVENUE
05,ACTIVE,1418955,,238,EAST 116 STREET
30,ACTIVE,1418958,,328,EAST 106 STREET
30,CLOSED,1418958,2016-03-16,328,EAST 106 STREET
23,CLOSED,1292812,2016-04-06,1571,LEXINGTON AVENUE
86,CLOSED,1293164,2016-04-06,1571,LEXINGTON AVENUE
05,ACTIVE,1422396,,312,WEST 114 STREET
2G,CLOSED,1397100,2016-04-29,139,EAST 110 STREET
05,CLOSED,1422396,2016-04-30,312,WEST 114 STREET
86,ACTIVE,1423184,,312,WEST 114 STREET
86,CLOSED,1423184,2016-05-07,312,WEST 114 STREET
05,ACTIVE,1423352,,312,WEST 114 STREET
83,CLOSED,1404858,2016-05-15,350,MANHATTAN AVENUE
05,CLOSED,1418955,2016-05-24,234,EAST 116 STREET
63,ACTIVE,1424848,,315,EAST 109 STREET
05,CLOSED,1422396,2016-06-03,312,WEST 114 STREET
05,CLOSED,1423352,2016-06-05,312,WEST 114 STREET
03,ACTIVE,1426712,,350,MANHATTAN AVENUE
03,CLOSED,1426712,2016-06-22,350,MANHATTAN AVENUE
45,ACTIVE,1427739,,234,EAST 116 STREET
53,ACTIVE,1427742,,234,EAST 116 STREET
05,ACTIVE,1427929,,350,MANHATTAN AVENUE
83,ACTIVE,1427653,2016-07-19,350,MANHATTAN AVENUE
05,CLOSED,1427929,2016-07-19,350,MANHATTAN AVENUE
45,CLOSED,1427739,2016-07-23,234,EAST 116 STREET
04,ACTIVE,1429137,,350,MANHATTAN AVENUE
83,ACTIVE,1430143,,320,MANHATTAN AVENUE
83,CLOSED,1427653,2016-08-12,350,MANHATTAN AVENUE
04,CLOSED,1429137,2016-08-13,350,MANHATTAN AVENUE
09,ACTIVE,1431361,,234,EAST 116 STREET
45,ACTIVE,1432619,,235,EAST 117 STREET
09,ACTIVE,1431361,2016-09-18,234,EAST 116 STREET
05,ACTIVE,1434141,,234,EAST 116 STREET
65,ACTIVE,1434723,,320,MANHATTAN AVENUE
65,ACTIVE,1434723,2016-10-11,320,MANHATTAN AVENUE
65,CLOSED,1434723,2016-10-12,320,MANHATTAN AVENUE
94,ACTIVE,1435361,,318,EAST 106 STREET
94,CLOSED,1435361,2016-10-21,318,EAST 106 STREET
04,ACTIVE,1436843,,234,EAST 116 STREET
65,ACTIVE,1436926,,154,EAST 106 STREET
65,ACTIVE,1436926,2016-11-09,154,EAST 106 STREET
58,ACTIVE,1437366,,235,EAST 111 STREET
65,CLOSED,1436926,2016-11-10,154,EAST 106 STREET
05,CLOSED,1434141,2016-11-15,234,EAST 116 STREET
45,CLOSED,1432619,2016-11-15,235,EAST 117 STREET
04,CLOSED,1436843,2016-11-19,234,EAST 116 STREET
30,ACTIVE,3582863,,259,LINDEN STREET
30,CLOSED,3582863,2016-11-26,259,LINDEN STREET
58,ACTIVE,1438675,,291,PLEASANT AVENUE
58,ACTIVE,1437366,2016-12-16,235,EAST 111 STREET
58,ACTIVE,1438675,2016-12-20,291,PLEASANT AVENUE
04,ACTIVE,1440030,,234,EAST 116 STREET
04,CLOSED,1440030,2016-12-26,234,EAST 116 STREET
58,CLOSED,1437366,2016-12-27,235,EAST 111 STREET
58,CLOSED,1438675,2016-12-27,291,PLEASANT AVENUE
